 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +6.2250000000000000E+01   +5.9689355035938370E+01   +6.1520240650202851E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2299999999999997E+01   +5.9674712716707532E+01   +6.1511296698171499E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2350000000000001E+01   +5.9660089436653372E+01   +6.1502354895293820E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2399999999999999E+01   +5.9645485153451702E+01   +6.1493415247171818E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2450000000000003E+01   +5.9630899824924356E+01   +6.1484477759372510E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2500000000000000E+01   +5.9616333409038631E+01   +6.1475542437428217E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2549999999999997E+01   +5.9601785863906670E+01   +6.1466609286836807E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2600000000000001E+01   +5.9587257147784840E+01   +6.1457678313061948E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2649999999999999E+01   +5.9572747219073136E+01   +6.1448749521533344E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2700000000000003E+01   +5.9558256036314603E+01   +6.1439822917647035E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2750000000000000E+01   +5.9543783558194711E+01   +6.1430898506765601E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2799999999999997E+01   +5.9529329743540771E+01   +6.1421976294218425E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2850000000000001E+01   +5.9514894551321348E+01   +6.1413056285301955E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2899999999999999E+01   +5.9500477940645659E+01   +6.1404138485279923E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2950000000000003E+01   +5.9486079870763007E+01   +6.1395222899383590E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3000000000000000E+01   +5.9471700301062178E+01   +6.1386309532812014E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3049999999999997E+01   +5.9457337690787782E+01   +6.1377397642366681E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3100000000000001E+01   +5.9442989002131007E+01   +6.1368485737315410E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3149999999999999E+01   +5.9428652701766524E+01   +6.1359573075329834E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3200000000000003E+01   +5.9414328757749203E+01   +6.1350659661623496E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3250000000000000E+01   +5.9400017138247996E+01   +6.1341745501381801E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3299999999999997E+01   +5.9385717811545405E+01   +6.1332830599762168E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3350000000000001E+01   +5.9371430746037028E+01   +6.1323914961894296E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3399999999999999E+01   +5.9357155910231072E+01   +6.1314998592880322E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3450000000000003E+01   +5.9342893272747894E+01   +6.1306081497795070E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3500000000000000E+01   +5.9328642802319507E+01   +6.1297163681686207E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3549999999999997E+01   +5.9314404467789139E+01   +6.1288245149574458E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3600000000000001E+01   +5.9300178238110725E+01   +6.1279325906453820E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3649999999999999E+01   +5.9285964082348485E+01   +6.1270405957291764E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3700000000000003E+01   +5.9271761969676426E+01   +6.1261485307029382E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3750000000000000E+01   +5.9257571869377898E+01   +6.1252563960581632E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3799999999999997E+01   +5.9243393750845136E+01   +6.1243641922837519E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3850000000000001E+01   +5.9229227583578798E+01   +6.1234719198660265E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3899999999999999E+01   +5.9215073337187491E+01   +6.1225795792887524E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.3950000000000003E+01   +5.9200930981387366E+01   +6.1216871710331574E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4000000000000000E+01   +5.9186800486001616E+01   +6.1207946955779462E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4049999999999997E+01   +5.9172676569969227E+01   +6.1199018914713790E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4099999999999994E+01   +5.9158548712164240E+01   +6.1190082356335481E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4150000000000006E+01   +5.9144411656776413E+01   +6.1181134669344523E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4200000000000003E+01   +5.9130265402451414E+01   +6.1172175858922593E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4250000000000000E+01   +5.9116109947860757E+01   +6.1163205930237176E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4299999999999997E+01   +5.9101945291701718E+01   +6.1154224888441675E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.4349999999999994E+01   +5.9087771432697139E+01   +6.1145232738675510E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
